Player_Name,Age,Batting_style,Position,Bowling_Style,Image
Najmul Hossain Shanto,25y 263d,Left hand Bat,Top order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Jaker Ali,26y 82d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Litton Das,29y 214d,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Tanzid Hasan,23y 165d,Left hand Bat,Opening Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Towhid Hridoy,23y 162d,Right hand Bat,Top order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mahedi Hasan,29y 154d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mahmudullah,38y 100d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Rishad Hossain,21y 304d,Right hand Bat,Allrounder,Legbreak Googly,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Shakib Al Hasan,37y 51d,Left hand Bat,Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Soumya Sarkar,31y 79d,Left hand Bat,Batting Allrounder,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Tanzim Hasan Sakib,21y 207d,Right hand Bat,Bowling Allrounder,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Taskin Ahmed,29y 41d,Left hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mustafizur Rahman,28y 251d,Left hand Bat,Bowler,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Shoriful Islam,22y 346d,Left hand Bat,Bowler,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Tanvir Islam,27y 202d,Left hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Navneet Dhaliwal,35y 205d,Right hand Bat,Middle order Batter,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Aaron Johnson,33y 47d,Right hand Bat,Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Shreyas Movva,30y 241d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ravinderpal Singh,35y 201d,Right hand Bat,Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Saad Bin Zafar,37y 174d,Left hand Bat,Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Dilpreet Bajwa,21y 97d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Junaid Siddiqui,39y 38d,Right hand Bat,Allrounder,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Nicholas Kirton,25y 362d,Left hand Bat,Batting Allrounder,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Pargat Singh,32y 19d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Rayyan Pathan,32y 148d,Right hand Bat,Batting Allrounder,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Harsh Thaker,26y 191d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Nikhil Dutta,29y 202d,Right hand Bat,Bowler,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Jeremy Gordon,37y 103d,Right hand Bat,Bowler,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Dilon Heyliger,34y 194d,Right hand Bat,Bowler,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Rishiv Joshi,23y 180d,Right hand Bat,Bowler,Left arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kaleem Sana,30y 122d,Right hand Bat,Bowler,Left arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Jos Buttler,33y 235d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Jonny Bairstow,34y 217d,Right hand Bat,Wicketkeeper Batter,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Harry Brook,25y 68d,Right hand Bat,Batter,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ben Duckett,29y 196d,Left hand Bat,Top order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Phil Salt,27y 246d,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Moeen Ali,36y 317d,Left hand Bat,Batting Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Sam Curran,25y 332d,Left hand Bat,Allrounder,Left arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Will Jacks,25y 161d,Right hand Bat,Batting Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Liam Livingstone,30y 270d,Right hand Bat,Batting Allrounder,"Right arm Offbreak, Legbreak",https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Jofra Archer,29y 29d,Right hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Tom Hartley,24y 363d,Left hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Chris Jordan,35y 209d,Right hand Bat,Bowler,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Adil Rashid,36y 73d,Right hand Bat,Bowler,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Reece Topley,30y 69d,Right hand Bat,Bowler,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mark Wood,34y 110d,Right hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Rohit Sharma,37y ,Right hand Bat,Top order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Yashasvi Jaiswal,22y 124d,Left hand Bat,Opening Batter,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Virat Kohli,35y 177d,Right hand Bat,Top order Batter,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Rishabh Pant,26y 209d,Left hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Sanju Samson,29y 171d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Suryakumar Yadav,33y 229d,Right hand Bat,Batter,"Right arm Medium, Right arm Offbreak",https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Hardik Pandya,30y 202d,Right hand Bat,Allrounder,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Shivam Dube,30y 309d,Left hand Bat,Allrounder,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ravindra Jadeja,35y 146d,Left hand Bat,Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Axar Patel,30y 101d,Left hand Bat,Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Arshdeep Singh,25y 85d,Left hand Bat,Bowler,Left arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Jasprit Bumrah,30y 146d,Right hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Yuzvendra Chahal,33y 282d,Right hand Bat,Bowler,Legbreak Googly,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kuldeep Yadav,29y 138d,Left hand Bat,Bowler,Left arm Wrist spin,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mohammed Siraj,30y 48d,Right hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ross Adair,30y 16d,Right hand Bat,Top order Batter,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Andy Balbirnie,33y 131d,Right hand Bat,Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Neil Rock,23y 226d,Left hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Harry Tector,24y 153d,Right hand Bat,Middle order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Lorcan Tucker,27y 240d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Paul Stirling,33y 247d,Right hand Bat,Batting Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mark Adair,28y 41d,Right hand Bat,Bowling Allrounder,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Curtis Campher,25y 17d,Right hand Bat,Allrounder,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Gareth Delany,27y 9d,Right hand Bat,Batting Allrounder,Legbreak Googly,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
George Dockrell,31y 290d,Right hand Bat,Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Graham Hume,33y 166d,Left hand Bat,Bowler,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Josh Little,24y 188d,Right hand Bat,Bowler,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Barry McCarthy,31y 237d,Right hand Bat,Bowler,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ben White,25y 252d,Right hand Bat,Bowler,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Craig Young,34y 33d,Right hand Bat,Bowler,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Nikolaas Davin,26y 143d,Right hand Bat,Batter,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Zane Green,27y 212d,Left hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
JP Kotze,30y 17d,Left hand Bat,Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Malan Kruger,29y 28d,Right hand Bat,Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Dylan Leicher,20y 7d,Right hand Bat,Middle order Batter,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Gerhard Erasmus,29y 29d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
JJ Smit,28y 182d,Right hand Bat,Bowling Allrounder,Left arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Jan Frylinck,30y 34d,Left hand Bat,Allrounder,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Michael van Lingen,26y 199d,Left hand Bat,Bowling Allrounder,"Left arm Medium, Slow Left arm Orthodox",https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
David Wiese,38y 358d,Right hand Bat,Allrounder,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Peter-Daniel Blignaut,18y 202d,Right hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Jack Brassell,19y 40d,Right hand Bat,Bowler,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Tangeni Lungameni,32y 23d,Right hand Bat,Bowler,Left arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bernard Scholtz,33y 220d,Right hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ben Shikongo,24y 2d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ruben Trumpelmann,26y 99d,Right hand Bat,Bowler,Left arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Aasif Sheikh,22y 314d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Dipendra Singh Airee,24y 98d,Right hand Bat,Middle order Batter,"Right arm Medium, Right arm Offbreak",https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kushal Bhurtel,27y 100d,Right hand Bat,Opening Batter,Legbreak Googly,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Sundeep Jora,22y 194d,Right hand Bat,Middle order Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Anil Sah,25y 166d,Right hand Bat,Wicketkeeper,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Rohit Paudel,21y 242d,Right hand Bat,Batting Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Gulsan Jha,18y 74d,Left hand Bat,Allrounder,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Karan KC,32y 204d,Right hand Bat,Allrounder,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kushal Malla,20y 57d,Left hand Bat,Batting Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Sompal Kami,28y 89d,Right hand Bat,Bowling Allrounder,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Pratis GC,19y 345d,Right hand Bat,Bowling Allrounder,Left arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kamal Airee,23y 134d,Right hand Bat,Bowler,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Abinash Bohara,26y 276d,Right hand Bat,Bowler,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Sagar Dhakal,22y 139d,Right hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Sandeep Lamichhane,23y 273d,Right hand Bat,Bowler,Legbreak Googly,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Lalit Rajbanshi,25y 64d,Right hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Scott Edwards,27y 264d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Wesley Barresi,40y 10d,Right hand Bat,Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Michael Levitt,20y 329d,Right hand Bat,Top order Batter,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Max O'Dowd,30y 70d,Right hand Bat,Opening Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Vikramjit Singh,21y 125d,Left hand Bat,Opening Batter,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bas de Leede,24y 180d,Right hand Bat,Batting Allrounder,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Sybrand Engelbrecht,35y 241d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Teja Nidamanuru,29y 265d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Tim Pringle,21y 258d,Right hand Bat,Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Saqib Zulfiqar,27y 46d,Right hand Bat,Bowling Allrounder,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Aryan Dutt,21y 1d,Right hand Bat,Bowler,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Vivian Kingma,29y 203d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kyle Klein,22y 315d,Right hand Bat,Bowler,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Logan van Beek,33y 249d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Paul van Meekeren,31y 119d,Right hand Bat,Bowler,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Daniel Doram,26y 213d,Left hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Fred Klaassen,31y 182d,Right hand Bat,Bowler,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kane Williamson,33y 265d,Right hand Bat,Top order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Finn Allen,25y 7d,Right hand Bat,Top order Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Devon Conway,32y 296d,Left hand Bat,Wicketkeeper Batter,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Michael Bracewell,33y 75d,Left hand Bat,Batting Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mark Chapman,29y 307d,Left hand Bat,Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Daryl Mitchell,32y 345d,Right hand Bat,Batting Allrounder,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
James Neesham,33y 225d,Left hand Bat,Batting Allrounder,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Glenn Phillips,27y 145d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Rachin Ravindra,24y 163d,Left hand Bat,Batting Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mitchell Santner,32y 84d,Left hand Bat,Bowling Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Trent Boult,34y 282d,Right hand Bat,Bowler,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Lockie Ferguson,32y 321d,Right hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Matt Henry,32y 137d,Right hand Bat,Bowler,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ish Sodhi,31y 181d,Right hand Bat,Bowler,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Tim Southee,35y 140d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Aqib Ilyas,31y 239d,Right hand Bat,Top order Batter,"Right arm Offbreak, Legbreak Googly",https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Pratik Athavale,27y 11d,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Khalid Kail,27y 201d,Right hand Bat,Middle order Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mehran Khan,37y 18d,Right hand Bat,Batter,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Naseem Khushi,41y 264d,Right hand Bat,Wicketkeeper,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kashyap Prajapati,28y 203d,Right hand Bat,Top order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Shoaib Khan,31y 147d,Right hand Bat,Batter,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Zeeshan Maqsood,36y 190d,Left hand Bat,Opening Batter,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ayaan Khan,31y 245d,Left hand Bat,Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mohammad Nadeem,41y 240d,Right hand Bat,Allrounder,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bilal Khan,37y 21d,Left hand Bat,Bowler,Left arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Fayyaz Butt,30y 258d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kaleemullah,33y 129d,Right hand Bat,Bowler,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Rafiullah,27y 259d,Right hand Bat,Bowler,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Shakeel Ahmed,36y 87d,Left hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Babar Azam,29y 222d,Right hand Bat,Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Azam Khan,25y 288d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Fakhar Zaman,34y 44d,Left hand Bat,Opening Batter,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Iftikhar Ahmed,33y 264d,Right hand Bat,Middle order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mohammad Rizwan,31y 358d,Right hand Bat,Wicketkeeper Batter,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Saim Ayub,22y ,Left hand Bat,Top order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Usman Khan,29y 14d,Right hand Bat,Top order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Imad Wasim,35y 158d,Left hand Bat,Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Shadab Khan,25y 233d,Right hand Bat,Allrounder,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
